Move Name,Video Link,Cues/Notes (Needs to be finished),,
Baby Cobra Stretch,https://youtu.be/OiKNlagEPH8?si=0z7BOMAFeqpZDfHC,"60-90 sec. Feet together, butt tight. Hands placed below shoulders and lift chest into sky. Keep front of hips on floor.",,
Full Cobra Stretch,https://youtu.be/_eAX7sEG15s?si=djmJMErK0sjrx3tp,"60-90 sec. Feet together, butt tight. Hands placed below shoulders and straighten arms. Squeeze shoulders together and down.",,
Wall Stretch,https://youtu.be/xXrBTgrtHxs?si=eaZnMO2MwGeky3hf,40-60 sec each side. Place hand on wall and rotate the chest away while keeping the shoulder blade down.,,
Shoulder Windmill Stretch,https://youtu.be/JlRm-KOkvAA?si=B3o6k4qfiPvg56Oy,"40-60 sec each side. Keep elbow locked and fingers tracing the floor. Try to keep top knee down, flip palm up once overhead.",,
Scapular Circles,https://youtu.be/aH5tkqsegHc?si=-BgVDDYSe-KYVlMO,30-40 sec each direction. Start slow and gradually increase tempo. Keep elbows straight the entire time and maximize range of motion in shoulders.,,
PVC Pec Stretch,https://youtu.be/-nq6bd6IuO8?si=c0n5a8w_paphA6Ir,"60-90 sec. Keep elbows straight, big chest and shrug through the top. Reach hands away from body.",,
Plantar Fascia Stretch Sequence ,https://youtu.be/l5ylcvRrdRw?si=mSYL0zNdoESc-307,40-60 sec each position. Drive big toe through floor when bottom of foot is down. Drive middle of foot through floor when top of foot is down.,,
Prayer Stretch,https://youtu.be/wxh98NtT05I?si=T-PEafXIrFDNasbL,"60-90 sec. Hands in a prayer shape, head and chest drop towards floor. Pull hands to spine.",,
Wrist Flexor Stretch lvl 1,,60-90 sec. Keep elbows straight the entire time. Externally rotate arms and slightly rock forward. Push through fingertips to rock back.,,
Wrist Flexor Stretch lvl 2 ,https://youtu.be/T8l-vVNX38M?si=qNvbNtOjFLDjAl37,"60-90 sec. Place palms flat with fingers toward knees, lean back and forth. Drive through palms when leaning back.",,
Wrist Extensor Stretch,https://youtu.be/miBvTDAmGDM?si=unVqZ-ofEGQsT2Qk,"60-90 sec. Start with hands close to knees. Top of hands flat on floor, fingers spread. Straighten elbows and externally rotate arms.",,
Joelder Pec/Spine Stretch ,https://youtu.be/yu9wPHIHkmk?si=Ka-Z-jN_5OlUdbEJ,60-90 sec. Bands placed 2-6 inches off floor on rack/anchor point. sit on ball and roll out until butt is on floor. Keep elbows straight and drop head on ball.,,
